fecha,Bolivia,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Chuquisaca,Tarija,Beni,Pando
2021-02-02,0,0,0,0,0,0,0,0,0,0
2021-02-03,0,0,0,0,0,0,0,0,0,0
2021-02-04,0,0,0,0,0,0,0,0,0,0
2021-02-05,0,0,0,0,0,0,0,0,0,0
2021-02-06,0,0,0,0,0,0,0,0,0,0
2021-02-07,0,0,0,0,0,0,0,0,0,0
2021-02-08,0,0,0,0,0,0,0,0,0,0
2021-02-09,0,0,0,0,0,0,0,0,0,0
2021-02-10,0,0,0,0,0,0,0,0,0,0
2021-02-11,0,0,0,0,0,0,0,0,0,0
2021-02-12,0,0,0,0,0,0,0,0,0,0
2021-02-13,0,0,0,0,0,0,0,0,0,0
2021-02-14,0,0,0,0,0,0,0,0,0,0
2021-02-15,0,0,0,0,0,0,0,0,0,0
2021-02-16,0,0,0,0,0,0,0,0,0,0
2021-02-17,0,0,0,0,0,0,0,0,0,0
2021-02-18,0,0,0,0,0,0,0,0,0,0
2021-02-19,0,0,0,0,0,0,0,0,0,0
2021-02-20,12,12,0,0,0,0,0,0,0,0
2021-02-21,12,12,0,0,0,0,0,0,0,0
2021-02-22,210,12,24,0,0,54,10,25,0,85
2021-02-23,1030,31,166,244,25,123,122,74,6,239
2021-02-24,2634,264,588,619,99,173,276,224,42,349
2021-02-25,6630,1918,1320,1664,281,265,299,401,43,439
2021-02-26,6630,1918,1320,1664,281,265,299,401,43,439
2021-02-27,7601,1918,1320,1664,402,365,524,672,221,515
2021-02-28,7601,1918,1320,1664,402,365,524,672,221,515
2021-03-01,7601,1918,1320,1664,402,365,524,672,221,515
2021-03-02,9162,1918,1625,1810,697,566,767,795,469,515
2021-03-03,9162,1918,1625,1810,697,566,767,795,469,515
2021-03-04,9162,1918,1625,1810,697,566,767,795,469,515
2021-03-05,9162,1918,1625,1810,697,566,767,795,469,515
2021-03-06,9785,1918,1664,2147,700,721,823,803,486,523
2021-03-07,9785,1918,1664,2147,700,721,823,803,486,523
2021-03-08,9830,1918,1664,2147,700,740,823,803,507,528
